framework_id,title,status,version,plane_id,created_at
FMWK-000,Control Plane Governance Framework,active,2.0.0,ho3,2026-02-01T00:00:00Z
FMWK-100,Agent Development Standard,active,1.0.0,ho3,2026-01-30T00:00:00Z
FMWK-101,Altitude Depth Standard,active,1.0.0,ho3,2026-01-30T00:00:00Z
FMWK-102,Altitude Convention Standard,active,1.0.0,ho3,2026-01-30T00:00:00Z
FMWK-107,Package Management Standard,active,1.1.0,ho3,2026-01-30T00:00:00Z
FMWK-200,Ledger Protocol Standard,active,1.0.0,ho3,2026-01-30T00:00:00Z
FMWK-ATT-001,Provenance Attestation Standard,active,1.0.0,ho3,2026-01-31T00:00:00Z
FMWK-PKG-001,Package Standard,active,1.0.0,ho3,2026-01-31T00:00:00Z
FMWK-PROMPT-001,Prompt Governance,active,1.0.0,ho3,2026-02-04T00:00:00Z
FMWK-CHAT-001,Chat Interface Governance,active,1.0.0,ho3,2026-02-04T00:00:00Z
